input_text,target_text
پھر ہم جانتے ہیں۔,ہمیشہ چلتا پھرتا رہتا ہوں
آنکھ اٹھتے ہی ایک نظر میں عالم سارا گزرے تھا,تیسرے ایک روزہ میچ میں ہندوستان کو شکست
اس کی بات مکمل ہونے,آزاد متحدہ ہندوستان یا قیام پاکستان
کرکٹر اظہر علی روڈ سیفٹی یونٹ کا حصہ بن گئے,دوسروں کے لیے وقت نہیں نکالتا
آسانی سے خوف زدہ ہو جاتا ہوں,محسن خان کی زیر سربراہی کرکٹ کمیٹی تشکیل
نوازشریف اب ایک نئے تعارف کے ساتھ سامنے آرہے ہیں۔,لندن کے فلیٹ پر آسائش تو بہت ہوں۔
سخت مشکل صورت حال میں بھی مطمئن رہتا ہوں,ریاست یہ سب کام اپنے وسائل کے تحت ہی کر سکتی ہے۔
مزدور کا عالمی دن یا لیبر ڈے,کا مکمل کنٹرول ہے۔
ماشاءاللہ آقا ھمیشہ سلامت باش,فوج جس کا کام سرحدوں کی حفاظت ہے
اعلانیہ وغیر اعلانیہ سیاسی اتحادیوں کو ساتھ,لیکن اس سب کے باوجود
مہاراج یا لیڈر اچھا تو لگنا چاہیے۔,میں ورزش کرتاہوں
تو اس کے چند نتائج ناگزیر ہیں۔,وہ ایک نئے جہان فکر و عمل کی تلاش میں ہوتے ہیں۔
شیوے کیلئے سال تک کوئی فلم سائن نہیں کی اجے,وجود رنگ کے مجموعہ گڈ مڈ کر د والے ہی کیوں نہ ہوں
آپ نئی ریاست کے برابر کے شہری ہیں۔,اللہ تعالی کے ہونے کی واضح دلیل ہیں
ہم سڑک پر بیٹھ گے ۔,سفر نامے میں یہ تعداد قلیل ہے
نہ صرف بارڈر نرم ہوں۔,اب میں ان بر گر اور پیپسی خوروں کو کیسے سمجھاتا کہ میٹھا آملیٹ ہونے کے لئے سننا کوئی ضروری تھوڑی ہے
ایسا نہیں ہونا چاہیے۔,جیسے مکھن سے چھری۔
وہاں میرے ایک دوست وسیم,کبھی خواہشات میں نہیں بہتا
صرف پانچ سوالات جغرافیے کے تھے,آرمینیا کا موسم گرما کا وقت
خدا کے حضور سجدے میں گرنے کو دل کرتا تھا,کئی کئی برسوں کا فرق ہے۔
فیفاورلڈ کپ روس نے اسپین کو واپسی کا ٹکٹ تھمادیا,امریکا کے محکمہ خزانہ حکام نے ایران کے شہریوں کو سپیشل ویزا دینے کا اعلان کیا ہے
ہم پرانے رویوں میں بندھے ہوئے ہیں۔,اب یہ ادارے مکمل طور پر سیاسی نرسریاں بن چکے تھے۔
وہ لاکھوں کے مجمعے کو مبہوت کر دیتے ہیں,کینیا سے درامد چائے میں مضر صحت کیمیکل کی موجودگی کا انکشاف
میں ایک ٹورسٹ ہوں اور میں نے کئی جگہ ہرن چیتے دیکھے ہے پاکستان میں,سولہ سال قید میں گزر گئے جرم ثابت نہیں ہوا
اسلام اباد احتساب عدالت نے مضاربہ کیس کا فیصلہ سنا دیا,بھی زیادہ طاقت ور
بعد امیر بنے اور سب,امریکہ نے ٹک ٹوک
خاص طور پر یہ بیماری نوجوانوں میں سب سے عام اعصابی عوارض کے طور پر جانی جاتی ہے,شدت کم کرنے کے لیے پاکستان حافظ سعید کو
عبدالرحمن کا انٹرنیشنل کرکٹ سے ریٹائرمنٹ کا اعلان,تو اسٹیٹ بینک ہماری برانچ
ان ننھے مننھے پرندوں,وہ رسیوں کو سانپ سمجھنے لگتے ہیں۔
معلوم ہوتا ہے کہ صاحب مشکوۃ نے یہ روایت مسلم سے لی ہے,کشیدہ صورت حال میں مطمئن رہتا ہوں
کبھی کبھار آپے سے باہر ہو جاتا ہوں,اب ختم ہوگیا۔
بہت کم مذاق کرتا ہوں,یہ کتاب جانوروں کے بارے میں ہے۔
یہ صورتحال دیکھ کر کلیجہ منہ کو آنے لگتا ہے,اس کی آنکھوں سے گر پڑے۔
سختی تو دیوبندی اسلام کا حصہ تھا۔,اوردل کینے سے بھراہے۔
ایف بی ار میں چھٹیوں پر پابندی عائد,پاگل ہو گئے ہو کیا
اخبار رپورٹ کا آغاز اس طرح کر ہے,وہ ایک بڑے وڈیرے کے بیٹے تھے۔
خوش رنگ و خوش طبع لوگ جمع ہیں۔,پاکستان نے رنز کی برتری حاصل کر کے ٹیسٹ میچ میں فتح کی بنیاد رکھ دی
شاہ ولی اللہ محدث دہلوی اپنی کتاب ”ازالتہ الخفا ء“ میں لکھتے ہیں,اور وزیراعظم عمران خان بھی اس کے مداحوں میں سے ہیں
دھکا م دیجئے بس پر چڑھنے کے لئے اپنی باری کا انتظار کریں,اورامریکہ سے بھی۔
اس کی صحت خراب ہے,میں نے تمہیں پہچانا نہیں
اس لیے اگر ایک عام شہری ان کی خلاف ورزی کرے گا۔,پیر سے تعلق خاطرہماری روایت ہے۔
اس بات سے ان لوگوں نے بھی اتفاق کیا جو ان کے اسلوب,اس کی صحت خراب ہے
یہاں پر سیاح ہائیکنگ جنگلی جانوروں کے شکار جیسے دلچسپ مشاغل سے لطف اندوز ہو تے ہیں ۔,ہر محب اپنے محبوب کو راضی رکھنا چاہتا ہے
جو کامیاب رہا اقتدار کے ایک سال میں,کے اثرات پہ اور
ہر پارٹی کا کہنا ہے کے وہ ملک کی خدمت کرنا چاہتی ہے اور جتنی خدمات وہ کرر ہی ہیں سب جانتے ہیں,خلاف ٹیسٹ سیریز نہیں ہارا بلکہ برابری پر ختم کرکے آیا ہے ۔
فرانسسائیکل ریس کا دوسرا مرحلہ پیٹرساگان کے نام,مغربی ممالک کی طرف دیکھتے ہیں
اختلاف رائے رکھنے والا غدار شمار ہوتا اور ریاست کے,مجھے یہ کہنا افسوس ہے لیکن لطف اندوز نہیں ہوا
جس قسم کے سامعین ہوں۔,سیاست دان علما اور میڈیا یہ رجحان ساز لوگ ہیں۔
کہ انہیں نہلانا بھی بےحد مشکل تھا,مدد سے روشنی پہنچتی رہے
اور انھی صفحات میں بے خوف لومۃ و لائم اس پر نقد کر رہے ہوتے,شاید ہمارے پاکستان میں
آج نواز شریف نے مشروط اجازت قبول کرنے سے انکار کیا ہے۔,اس کو قاتل سے زیادہ دلچسپی ہے۔
اس کی خبر دنیا بھر کے میڈیا میں سب سے نمایاں ہے۔,مذہبی راہنما بھی آتے جاتے رہتے ہیں۔
جن لوگوں اور خاص طور پر جن خاتون نے گوادر کو پاکستان میں شامل کرنے کے لیے,یہی اس الیکشن موسم میں ہو رہا ہے۔
جو اس کا ساتھی بن جاتا ہے,مجھے بھی یقین نہیں آ رہا تھا
اس کے انتظامات کی نگرانی کیلئے آئے تھے,مسلم لیگ دسمبر میں ڈھاکہ میں وجود میں آئی
تو دوسروں کے قبضے کی کیا بات کرنی,یہی ن لیگ قیادت کے لئے کافی ہو گا۔
یہ بات اب عیاں ہے۔,خود کو نا پسند کرتا ہوں
نواز شریف صاحب ایک سیاسی شخصیت ہیں۔,خان صاحب کے دورہ امریکہ کا حاصل یہی ایک جملہ ہے۔
کہ وہ آٹھ گھنٹے کے کھیل میں,سلطان یش راج فلمز کے ساتھ سلمان کی اخری فلم
آسودہ ہونے کی وجہ سے دوران سفر بڑے بڑے ہوٹلوں میں رہتے,اگر کسی کو ان کی ذات سے شکایت ہے۔
ڈائجو گارسیا,بد ترین سے خوف زدہ رہتا ہوں
وزیر اعظم تھے۔,الزامات جو بھی ہوں۔
کورونا وائرس مرض ایک متعدی بیماری ہے,بچھڑے کے سونے کے بت کا ذکر
تم اپنے آپ کو ان چیزوں کے بارے میں بہت پریشان نہیں کرنا چاہتے ہو,عنقریب یہ وبا انشاءاللہ پاکستان سے ختم ہورہی ہے
ہر بار یہ گمان ٹوٹا۔,امریکا یورپ اور
دوسری کے ذمہ برتن دھونا اور کھانا پکانا تھا,باسکی
روڈ میپ پر دستخط پی سی بی نےمحمد اصف اور سلمان بٹ کو طلب کر لیا,مرے چارہ گر کو نوید ہو صف دشمناں کو خبر کرو
مائیکروسافٹ سکیوریٹی ایزنشل کی اپ ڈیٹس ونڈوز ایکس پی کی سپورٹ ختم ہونے کے ایک سال بعد تک ملتی رہیں گی,قونصل جنرل کو تو خوش ہونا چاہیے۔
جہاں جائیں وعظ اور نصیحت کی باتیں۔,حکومت کا ائندہ بجٹ مئی کے دوسرے ہفتے میں پیش کرنے کا فیصلہ
اور پھر برخورداران میاں شہباز شریف۔,کیا سماں تھا۔
وقت کی ضرورت کو موضوع گفتگو بناتے ہوئے,تو ہم اس پر ایک شیطان مسلط کر دیتے ہیں
ایسے لوگ جو کم نظری کے حامل,کہ کوئی حکم نہیں لگایا جائے گا
انٹرنیٹ پر تلاش کر لو,کمپیوٹر جینئس تھے۔
امن و امان کی صورت حال کا معاشی ترقی سے براہ راست تعلق ہے,باقی سب نئے لوگ تھے۔
فیفا ورلڈکپ کے سیمی فائنل مرحلے کا غاز کل سے ہو گا,صرف دوستوں کے ساتھ بے تکلف ہوتا ہوں
اردوغان پر کرپشن کے الزامات ہیں۔,میں کون ہوتا ہوں تمہیں معاف کرنے والا
ٹی ٹوئنٹی ٹرائی سیریز زمبابوے کی ٹیم سٹریلیا کے مد مقابل ہو گی,اب اپنا نہیں ٹیم
عمران خان کا قدم بھی ساتویں دھائی کی دہلیز پر ہے۔,وہ سیاسی دائرے میں محمود کیسے ہوگئی
مذہبی رہنماؤں سے میں ایک اورگزارش بھی کروں گا۔,اس موضوع پر کی جانی والی ایک تحقیق کی مطابق اس بات کا غالب گمان موجود ہی کہ اپریل میں آنی والا
پاکستان میں پہلی بار الیکٹرک بائیک رائیڈنگ سروس متعارف,بلکہ اس میں پانچ اسپیشلسٹ بیٹسمینوں سمیت دس کھلاڑی
کہاں یہ خاک کے تودے تلے دبا ہوا جسم,ہم نئے افق دیکھیں گے۔
لیکن ان کی تنقید میں اتنا وزن نہیں۔,دورہ ائرلینڈ اور انگلینڈ کی تیاریاںقومی کھلاڑیوں کا تربیتی کیمپ لاہور میں جاری
اس کے برخلاف ایڈہاک ازم سب کچھ برباد کر دیتا ہے۔,لیکن وہ کیفیت ہم میں کہاں سے آتی
چیمہ صاحب یہ سب سوالات اٹھاتے ہیں۔,میری سمجھ میں کچھ نہ آیا۔
مجھے آپ سے ایک ضروری کام ہے,ایک ہی سکرپٹ ہے۔
جھوٹ بولنا بری عادت ہے اور عموما بچے اس کا شکار ہوجاتے ہیں,جس کے سبب پاکستان کرکٹ تنزلی کی جانب گامزن ہے ۔
باہر کے چینلز نے آئی سی یو کے اندر کے حالات بہت پہلے دکھا کر لوگوں کو عقل دلائی تھی,کیا وہ بھی کسی نیک مقصد کے لیے حوالۂ زنداں ہیں
اوپر کی چھت سے لٹکے ہوئے,ہماری معیشت کو اگر ماضی قریب میں سنبھالا ملا ہے۔
چار گھنٹے تک استعمال کرسکتے ہیں,زندگی میں ایک مرتبہ امیر
وہی رہ جاتے ہیں۔,ابوظہبی کی مبادل
کشمش کے باقاعدہ,ممتاز شاعرہ فہمیدہ ریاض شدید علالت کے باعث انتقال کر گئیں
آپ کو وہاں جانے کی ضرورت نہیں,سنیچر اور اتوار کو سونے کی عالمی مارکیٹ بند ہے
جس سے کدورت میں اور بھی اضافہ ہوتا ہے,اس کے لیے تازہ خیالات درکار ہیں۔
روز اخبار کھولتا ہوں۔,لیکن ان فلموں کی کامیابی کے درمیان
دوسرے الفاظ میں وہ ریاست کے اندر اپنی ایک الگ ریاست بنانے کا اعلان کر رہا ہوتا ہے,مگر اکثر اسلام آباد یئے نہیں جانتے
لیکن ایساکچھ نہ ہوا۔,مزید خراب ہوئے۔
ٹیسٹ کا کھلاڑی بن سکتا ہے۔,عدلیہ اور ہے۔
اب مشروبات کو یخ بستہ کرنے کے لئے ریفریجریٹرز کی ضرورت نہیں رہے گی,وزرا کی تو اور بات ہے۔
جبکہ یونیورسٹی کینٹین کے کنارے لگا چیڑ کا درخت خاموش ہےاور ٹھنڈی ہوا کے جھونکوں کا منتظر ہے,عرب دنیا ہمارے ساتھ تو بالکل نہیں۔
معاشی حالت ٹائٹ ہے۔,اسے اندازہ ہوا کہ جو لاوا پک چکا اب بہنے کو ہے۔
لوگوں کو شکایات ہیں اور ان میں سے اکثر درست ہیں۔,مذہب بالعموم انہی تینوں دائروں میں بیان ہوتا ہے۔
اس سے دعوت کو نقصان پہنچتا ہے۔,روشنی آکر واپس نہیں جاسکتی
اس علاقے میں گاڑیوں کے پیچھے لٹکنا خطرناک ضرور ہے مگر یہ لوگوں کے روزمرہ معمول کا حصہ ہے ۔,ان کی باتوں سے اخلاص ٹپکتا ہے۔
یہ اسی دور کا ثمر ہے۔,تیسری بات یہ کہ اداروں کو اب مضبوط ہو نا چاہیے۔
زمباب کے خلاف ہرار میں کھیل,اب سنا ہے۔
توڑ بوجھ سر پر اٹھائے چلے جا رہے ہیں,ہر مرتبہ یہ بھول جاتے ہیں
کوریا کے رہنما غربت میں نہیں رہتے۔,اور گھٹتی رہتی ہے
اسٹیٹ بینک نےمنی مارکیٹ کو ارب روپے فراہم کردیے,برائیڈل کوچیور ویک میں فیشن کے جلوے
انتظامیہ کو نصیحتیں نہ کی جائیں۔,میرا خیال ہے کہ عمران خان بھی ان میں سے ایک ہیں۔
اس کے بغیر نہیں۔,بھارت کے امیر تر
توکل اللہ پر بھروسے کا نام ہے,مسئلہ کشمیر کے تمام روایتی حل ناکام ہو چکے ہیں۔
مطابق خود کو ڈھال سکیں۔',اپنے گناہوں سے توبہ کرو
مشرق و مغرب تو اللہ ہی کے لئے ہے۔,آج بھی وہ خوشبو کم نہیں ہوئی دل بے چین ہوگیا جی اماںجی
ان کے وزرائے خارجہ جایا کرتے تھے۔,جی کہیے میں آپ کی کیا مدد کر سکتا ہوں
جو شخص اپنے ساتھی کی ڈھال استعمال کرے۔,جب وسیع تر قومی مفاد کے لیے مفاہمت کرنا پڑتی ہے۔
جو ممالک اپنے آپ کو مہذب کہتے ہیں۔,عمر گزر گئی ہے۔
ان میں سے بعض وہ ہیں جن کا تعلق اجتماعیت سے ہے۔,کچھ معاملات میں بے بس ہو جاتا ہوں
میرا دیوتا کمرے کے باہر,گاؤں کے چند معززین حرکت میں آئے۔
اورجس کے پیچھے ماسکو یونیورسٹی ہے۔,اورقانو اور غیر قانون شکار کر والہ کے ل سزا مقرر کر
بی بی سی والے بھی بہت باریک بین ہیں,کیا روشن ہو جاتی تھی گلی جب یار ہمارا گزرے تھا
قدرتی حسن کی دولت سے مالا مال ان علاقوں میں غر بت اور پس ماندگی سیاح کو غم زدہ کر دیتی ہے ۔,ایک مقابلے میں اس کا جبڑا ٹوٹ گیا
مطلع جزوی طور پر ابر آلود رہے گا,نریندر مودی کا مذاق اڑانے پر سونو نگم پر تنقید
کیا پیپلز پارٹی عصری سیاست کا بارہواں کھلاڑی ہے,"گاؤں جہاں کا قصد تھا کا نام ""کلاں"" ہے ۔"
یہ مقدمہ اس ملک کے نظام عدل کے لیے بھی چیلنج ہے۔,کیونکہ اس عمل کے بڑے ٹارگٹ وہی ہیں۔
کس نے روکا ہے سر راہ محبت تم کو,فلنٹریاں مارنی ہوں۔
اب یہ کچھ عرصے سے یہاں پہ تیندوا مشہور ہوگیاہے,ان کا زمانہ خلافت بارہ سال کے عرصہ پر محیط ہے
اگلے سال منافع منقسمہ کی ترقی کے ساتھ کیا واقع ہو گا,روپے فی کلو گرام میں فروخت کیا گیا
زیارت کیلئے جانے والے سرسٹھ پاکستانی زائرین نجف ایئرپورٹ پر پھنس گئے,ہمارے ہاں جب علوم کے احیا کی کوئی تحریک اٹھے گی۔
تو قدرے چھپ چھپا کے۔,گسی
بولتے وقت الفاظ ایک دوسرے کے ساتھ جوڑ دیتا ہوں,پی ایس ایل فائنل پشاور زلمی کی شکست پر سپورٹرز افسردہ نہیں
بلکہ اخبارات کا ریگولر فیچر تھا۔,آپ کو اپنا مسئلہ خود حل کرنا پڑے گا
کھیلوں سے متعلق کارکردگی کا جائزہ لینے کیلئے ٹاسک فورس بنانے کا فیصلہ,واقعے میں ملوث نہیں رہی تاہم یہ ایک پیچیدہ عمل ہے۔
تو پھر ان کیا بنتا ہے,کیا پیپلز پارٹی عصری سیاست کا بارہواں کھلاڑی ہے
شاپروں کا یہ حال ہے۔,ناصر عباس تاریخ کے مارکسی نقطہ نظر کے حامل ہیں۔
ملک بھر میں تین,پرانا شوق پورا کیا کتابی دیکھیں کچھ نئی کچھ وہی پرانی
اور اپنے اس مشن کو پورا کرنے کے لیے انسانوں اور اپنے ہم جنسوں سے کام بھی لیتا ہے,سننے کے بعد گویا ہوئے
وہ بہت باتونی ہے,دوسروں کے مسائل میں دلچسپی نہیں لیتا
پنجاب بھر میں چینی کا بحران سنگین ہونے کا خدشہ,مسئلہ ایک اور بھی ہے۔
یہ سوچ غلط ہے۔,انتظامیہ کو نصیحتیں نہ کی جائیں۔
پاکستان کے معنی خلوص کی سرزمین کے ہیں,علما کی فتوی سازی کے نتیجے
فشانوں اور سونامی جیسی قدرتی آفات کا مطالعہ کرتا ہی۔,آج ہم طفیلی ہیں۔
اسی میں ہمارے لیے امکانات کی ایک دنیا پوشیدہ ہے۔,ان میں سے یہ ایک ہے۔
کاروبار کیلئے تو ذہن بالکل نہ تھا۔,وہ چھوٹا اور ہلکا ہے۔
عالمی سازشوں کو اپنی شکست کی وجہ قرار دیتے ہیں,میں مولانا کے مداحوں میں سے ہوں۔
ٹرکوں پر دلکش نقش ونگار بنانے والے فنکار مسائل کا شکار,خوف کا پہلا اثر اعصاب اور دوسرا ذہن پر ہوتا ہے۔
اس طرح کسی بھی مشق سے ایک کیفیت پیدا کی جاسکتی ہے,نیوزی لینڈ سے ہار کوچنگ کیریئر کی بدترین شکست ہے ارتھر
انسان نے جبر سے آزادی کے لیے ایک طویل سفر کیا ہے۔,گوادر مستقبل کا دبئی ثابت ہوگا برطانوی اخبار
تو ایسا ہی ہوتا ہے۔,تو پاکستانی افسران وہاں موجود تھے۔
چولہا اس گھر میں سے ہی مل گیا,کا دورہ کراچی منسوخ
سڑکیں بنانی ہوں۔,یہی کچھ یہاں ہوا۔
سو اللہ اللہ کر کے آملیٹ تیار ہوئے روٹیوں کو گرم کیا گیااور دستر خوان سج گیا,اس سوال کے ساتھ لوگوں کی دلچسپی بڑھتی جا رہی ہے۔
فلم مداری رٹ سینما میں عمدہ اضافہ,پاکستان سپر لیگ کی میزبانیقطر کرکٹ ایسوسی ایشن پر امید
سنیل گواسکر پوری بات,روپے کی قدر میں کمی سے مہنگائی بڑھے گی غیاث پراچہ
تو ان چہروں کی وجہ سے۔,سیاسی جماعتیں بھی دانستہ اس کلچرکو فروغ دیتی ہیں۔
پاکستان کیلئے دورہ انگلینڈ ہمیشہ ٹف رہا اظہر علی,اب پتہ نہیں کہاں ہیں۔
جب عوام پر بھروسہ کیا جائے گا۔,جانتا ہوں کے قوائد و ضوابط سے کیسے کھیلنا ہے
اب بھی وہی قائم ہیں۔,جو مسلمان ہے۔
باکستانی ٹیم صرف دو میچز میں ہی خراب کھیلی ہے ۔,اور دائرۂ اسلام سے خارج قرار دیا ہے
گھر میں سب لوگ سو رہے ہیں,تو اس کا حصہ ہوں۔
اس موقع سے فائدہ اٹھانا چاہیے۔,ممبران اسمبلی ہوں۔
اس سے قبل کسی مشین کو کبھی بھی بزنس مشین کی حیثیت حاصل نہیں تھی,تو اسے آزادیٔ رائے سے الگ کرنا مشکل ہو جائے گا۔
پہلے ٹیسٹ میں زمبابوے ٹیم اپنی ناتجربہ کاری کے باعث شکست کھاگئی,ماشیم
جہاں پودوں کی نشوونما کو بہتر بنانے,دھرنے کے بعد تو کم ہی لوگ ہیں جنہیں اس پر شک ہے۔
یہ تو چند مثالیں ہیں۔,چاہے کچھ بھی ہو میں چھوڑوں گا نہیں
کچرا صاف ہو رہا ہے۔,وہ تو بس اپنے دن پورے کر رہا ہے
علیم پر قبضہ کرتی جا رہی ہے,اور ڈراموں کی دلکش مارکیٹ ہے۔
ووٹ کی عزت۔,دنیا بھر میں کرکٹ شائقین کی تعداد ایک ارب سے تجاوز کر گئی
وہ بس ایسے ہی ہیں۔,اوربعض اوقات سالوں تک جاری رہ سکتا ہی۔
لیکن ان کی حکومت شخصی حکومت نہ تھی۔,نئے مقامات پر جانا پسند کرتا ہوں
ھم نے بہت ہی کم وقت میں اپنا کام ختم کرلیا,آغاز بد انجام بد
زیادہ سے زیادہ دو برس کے اندر اس منصوبے کو تکمیل تک پہنچانا چاہیے۔,پرانی طرز کا کوئی سیاست دان ہو گا۔
جب لوگ اللہ تعالی,حقائق کو توڑ مروڑ کر پیش کرنا شاید بی بی سی سے زیادہ کوئی نہیں جانتا
یونس خان احتجاجا کوچنگ کورس چھوڑ گئے,ان کے دوست احباب پیسے والے لوگ ہیں۔
ہت ھی اچھا لگا ان پارسی بہن بھائیوں کو دیکھ کر,جو اگر ان کے خاندان سے نہ ہوں۔
بابا جی بھی ہاں میں ہاں ملا رہے,اس کا کیا مطلب ہے
یہ لوگ کسی کو کیا منہ دکھائیں گے,وہ بال سنوار رہی ہے
اس نے پوچھا,گزشتہ پانچ سال سے
پونے نے دھونی کو خرید لیا,کہ ’کچھ لوگ کیسے
اور راولپنڈی میں بھی مگر کلاں میں اپنی آسائش کی خاطر آلودگی دھواں شور اور گندگی پھیلانے والے انسان کم ہیں,جس حد تک ممکن تھا۔
اور پھر ممکن ہے کہ پاکستان بھی ہو,لیکن ایساکچھ نہ ہوا۔
پابندیاں جو تھیں۔,اسلام پوری بنی نوع انسان کے لیے پیغام ہدایت ہے۔
صدر ٹرمپ تھے جو اس منصب پر فائز ہونے کے,مجھے دوسروں میں دلچسپی نہیں ہے
کیا ن لیگ اس مقدمے کے ابلاغ کی صلاحیت رکھتی ہے,براہ راست پروازوں سے سعودی عرب اور مصر کے درمیان سیاحت کو فروغ ملے گا
ان کے کھیل میں قوت خوبصورتی تکنیک اور پھرتی شامل ہے۔,حمد باری کو اٹھے دست دعا آخر شب
گرمیاں آنے والی ہیں,باہمی روابط تعصب کی شدت کو کم کر دیتے ہیں
مصباح کا نائب کپتان,اندھیرا بھی ہے۔
وہاں اس طرح کے فیصلوں کا نفاذ بھی ہو جاتا ہے,اب نیٹ پہ سن لیتے ہیں۔
ایک ہی سکرپٹ ہے۔,یہ مکان برائے فروخت ہے
میں لیموں پانی پیوں گا,جیسا کہ ہم جانتے ہیں۔
وہ محاربہ اور فساد فی الارض ہے۔,چیزوں کا بنا سوچے سمجھے کرتا ہوں
قومی کرکٹ ٹیم دورہ زمبابوے کے لئے روانہ,قابل بھی تھے۔
ان کا نکاح قائم ہے یا باطل ہو گیا ہے,جو ہونا ہوتاہےوہ ہو کر رہتا ہے
اور آسانی سے شکار ہونا جانا ہونا ۔,مسلم لیگ کے نام پر کیا خوب
فلسفیانہ بحث سے پرہیز کرتا ہوں,روزمرہ اورمحاورہ کے درمیان حسن توازن سے شعرکہنا ہے
پنجاب بھر میں چینی کا بحران سنگین ہونے کا خدشہ,مسئلہ ایک اور بھی ہے۔
کپڑے نچوڑ دو,ڈکٹیشن نہیں لوں گا۔
حصول اقتدار سیاست کا لازمی جزو ہے۔,ان کے پاس کوئی چوائس ہی نہیں ہوتی۔
تو کمزوریوں پہ بھی پردہ پڑ جاتاہے۔,کیا لبرل ازم اور مذہب میں کہیں اعتدال نہیں ہوتا
سٹریلیا اور عثمان خواجہ نے متعدد ریکارڈز پاش پاش کر دیے,پہلے مرحلے میں انتظامیہ اپنے ملازمین کو ویکسین لگائے گی
